title,Abstract,year
"Decision Support for Performance Arts Using Support Vector Regression With Genetic and Particle Swarm Algorithms","Different from typical mechanical products, tickets for movies and performing arts can be considered as a special type of consumer products. Compared to widely known box-office receipts prediction with single-output in movie industry, estimating the market share and price for performing arts is still a challenging problem due to high dimensional datasets yet limited number of samples. This paper describes a data-driven decision support system to help arts managers make strategic decisions, especially on session-determination and price-setting, considering price discrimination and prediction on the corresponding sales volume. Eight different attributes from the database, with multiple labels in each attribute, are used to accurately and comprehensively represent and classify the characteristics of performing arts in each genre. A web-based influence factor is also defined to quantify the popularity and publicity of performing arts. For this multi-input and multi-output problem, support vector regression (SVR) is employed and its optimal parameters are determined using genetic algorithm (GA) and particle swarm optimization (PSO) respectively. Price utility axiom with the law of demand is applied to maximize the receipts. Compared to artificial neural networks (ANN), those two optimization based SVR methods perform much better, in terms of effectiveness and reliability.",2015
"A Novel Application of Gamification for Collecting High-Level Design Information","This paper presents a novel application of gamification for collecting high-level design descriptions of objects. High-level design descriptions entail not only superficial characteristics of an object, but also function, behavior, and requirement information of the object. Such information is difficult to obtain with traditional data mining techniques. For acquisition of high-level design information, we investigated a multiplayer game, “Who is the Pretender?” in an offline context. Through a user study, we demonstrate that the game offers a more fun, enjoyable, and engaging experience for providing descriptions of objects than simply asking people to list them. We also show that the game elicits more high-level, problem-oriented requirement descriptions and less low-level, solution-oriented structure descriptions due to the unique game mechanics that encourage players to describe objects at an abstract level. Finally, we present how crowdsourcing can be used to generate game content that facilitates the gameplay. Our work contributes towards acquiring high-level design knowledge that is essential for developing knowledge-based CAD systems.",2015
"Automatic Extraction of Function Knowledge From Text","This paper presents a method to automatically extract function knowledge from natural language text. Our method uses syntactic rules to extract subject-verb-object triplets from parsed text. We then leverage the Functional Basis taxonomy, WordNet, and word2vec to classify the triplets as artifact-function-energy flow knowledge. For evaluation, we compare the function definitions associated with 30 most frequent artifacts compiled in a human-constructed knowledge base, Oregon State University’s Design Repository (DR), to those extracted using our method from 4953 Wikipedia pages classified under the category “Machines”. Our method found function definitions for 66% of the test artifacts. For those artifacts found, our method identified 50% of the function definitions compiled in DR. In addition, 75% of the most frequent function definitions found by our method were also defined in DR. The results demonstrate the promising potential of our method in automatic extraction of function knowledge.",2015
"Predicting the Benefits of Topology Optimization","Topology optimization is a systematic method of generating designs that maximize specific objectives. While it offers significant benefits over traditional shape optimization, topology optimization can be computationally demanding and laborious. Even a simple 3D compliance optimization can take several hours. Further, the optimized topology must typically be manually interpreted and translated into a CAD-friendly and manufacturing friendly design.",2015
"Solution Space Exploration in Model-Based Realization of Engineered Systems","George Box a British mathematician and professor of statistics wrote that “essentially, all models are wrong, but some are useful.” In keeping with George Box’s observation we suggest that in the model-based realization of complex systems, the decision maker must be able to work constructively with decision models of varying fidelity, completeness and accuracy in order to make defendable decisions under uncertainty. The models, and the search algorithms that use these models, will never be perfect and the inherent inaccuracy and incompleteness of analysis models and solvers manifest as uncertainties in the projected outcomes. Therefore, a significant and desirable step in any model-based application is to find stable and robust solutions in which variation of the (input) variables and parameters within manageable tolerances has the minimum effect on delivering favorable, system performance. In this paper we present a method for visualizing and exploring the solution space using the compromise Decision Support Problem (cDSP) as a decision model to aid a decision maker in finding these stable and robust solutions.",2015
"Non Prismatic Air-Breathing Fuel Cells: Concept, Design and Manufacturing","This paper details the research into Axis Symmetric Architecture (ASA) Proton Exchange Membrane (PEM) fuel cells, which are fuel cells that possess a non-prismatic cylindrical architecture as compared to the traditional flat plate designs. The paper elucidates the advantages on the ASA designs versus flat plate designs, including increased fuel flow characteristics, reduced sealing area, reduced weight characteristics and increased power densities (power/weight ratios). Finite element analysis will show improvements to flow characteristics on both the cathode and anode side along with a study of the flow channel cross-sections. The ASA design facilitates natural convective flow to promote improved reactant availability and the prototypes created show the ease of manufacture and assembly. ASA’s unlike traditional fuel cells do not require bulky clamping plates and extensive fastening mechanisms and hence lead to prototypes with reduced size, weight and cost.",2015
"Understanding the Utilization of Information Stimuli in Design Decision Making Using Eye Gaze Data","Research on decision making in engineering design has focused primarily on how to make decisions using normative models given certain information. However, there exists a research gap on how diverse information stimuli are combined by designers in decision making. In this paper, we address the following question: ",2015
"Impact of Technology Infusion on System Complexity and Modularity","Complex systems often have long life cycles with requirements that are likely to change over time. Therefore, it is important to be able to adapt the system accordingly over time. This is often accomplished by infusing new technologies into the host system in order to update or improve overall system performance. However, technology infusion often results in a disruption in the host system. This can take the form of a system redesign or a change in the inherent attributes of the system. In this study, we analyzed the impact of technology infusion on system attributes, specifically the complexity and modularity. Two different systems that were infused with new technologies were analyzed for changes in complexity and modularity.",2015
"Modeling Consumer Decisions on Returning End-of-Use Products Considering Design Features and Consumer Interactions: An Agent Based Simulation Approach","As electronic waste (e-waste) becomes one of the fastest growing environmental concerns, remanufacturing is considered as a promising solution. However, the profitability of take back systems is hampered by several factors including the lack of information on the quantity and timing of to-be-returned used products to a remanufacturing facility. Product design features, consumers’ awareness of recycling opportunities, socio-demographic information, peer pressure, and the tendency of customer to keep used items in storage are among contributing factors in increasing uncertainties in the waste stream. Predicting customer choice decisions on returning back used products, including both the time in which the customer will stop using the product and the end-of-use decisions (e.g. storage, resell, through away, and return to the waste stream) could help manufacturers have a better estimation of the return trend. The objective of this paper is to develop an Agent Based Simulation (ABS) model integrated with Discrete Choice Analysis (DCA) technique to predict consumer decisions on the End-of-Use (EOU) products. The proposed simulation tool aims at investigating the impact of design features, interaction among individual consumers and socio-demographic characteristics of end users on the number of returns. A numerical example of cellphone take-back system has been provided to show the application of the model.",2015
"Design as a Sequential Decision Process: A Method for Reducing Design Set Space Using Models to Bound Objectives","Design is a sequential decision process that increases the detail of modeling and analysis while simultaneously decreasing the space of alternatives considered. In a decision theoretic framework, low-fidelity models help decision-makers identify regions of interest in the tradespace and cull others prior to constructing more computationally expensive models of higher fidelity. The method presented herein demonstrates design as a sequence of finite decision epochs through a search space defined by the extent of the set of designs under consideration, and the level of analytic fidelity subjected to each design. Previous work has shown that multi-fidelity modeling can aid in rapid optimization of the design space when high-fidelity models are coupled with low-fidelity models. This paper offers two contributions to the design community: (1) a model of design as a sequential decision process of refinement using progressively more accurate and expensive models, and (2) a connected approach for how conceptual models couple with detailed models. Formal definitions of the process are provided, and a simple one-dimensional example is presented to demonstrate the use of sequential multi-fidelity modeling in determining an optimal modeling selection policy.",2015
"A Mathematical Model for Pressure Compensating Emitters","This paper presents a mathematical model investigating the physics behind pressure-compensating (PC) drip irrigation emitters. A network of PC emitters, commonly known as drip irrigation, is an efficient way to deliver water to crops while increasing yield. Irrigation can provide a means for farmer to grow more sensitive, and profitable crops and help billions of small-holder farmers lift themselves out of poverty. Making drip irrigation accessible and economically viable is important for developing farmers as most face the challenges of water scarcity, declining water tables and lack of access to an electrical grid. One of the main reasons for the low adoption rate of drip irrigation in the developing world is the relatively high cost of the pumping power. It is possible to reduce this cost by reducing the required activation pressure of the emitters, while maintaining the PC behavior. The work presented here provides a guide of how design changes in the emitter could allow for a reduction in the activation pressure from 1 bar to approximately 0.1 bar. This decrease in the activation pressure of each emitter in turn decreases the system driving pressure. This reduction of driving pressure will decrease the energy need of pumping, making a solar-powered system affordable for small-acreage farmers.",2015
"Simulating Variability of Rework Cost and Market Performance Estimates in Product Redesign","When considering the redesign of an existing product, designers must consider possible engineering and marketing ramifications. Ideal changes capture a large portion of the market and have a low risk of change propagation that results in reduced cost to the manufacturer. Engineering change tools such as the Change Prediction Method and market research models such as Hierarchical Bayes Mixed Logit allow designers to estimate the cost of the redesign process and market shares of preference. Variability in the inputs of the Change Prediction Method (impact and likelihood values) results in a range of redesign cost values. Assumptions regarding model form and the randomness used in model fitting also lead to variations when estimating market performance. When the variability associated with these techniques is considered, focus should shift from a point-estimate to a region-estimate. This paper explores the region-estimate produced for proposed redesigns when considering rework cost and market share of preference.",2015
"Changing Subsystem Information Strategies Using Weighted Objectives: Increasing Robustness to Biased Information Passing","Complex system design requires managing competing objectives between many subsystems. Previous field research has demonstrated that subsystem designers may use biased information passing as a negotiation tactic and thereby reach sub-optimal system-level results due to local optimization behavior. One strategy to combat the focus on local optimization is an incentive structure that promotes system-level optimization. This paper presents a new subsystem incentive structure based on Multi-disciplinary Optimization (MDO) techniques for improving robustness of the design process to such biased information passing strategies. Results from simulations of different utility functions for a test suite of multi-objective problems quantify the system robustness to biased information passing strategies. Results show that incentivizing subsystems with this new weighted structure may decrease the error resulting from biased information passing.",2015
"The Importance of Contextual Factors in Determining the Greenhouse Gas Emission Impacts of Solar Photovoltaic Systems","Small-scale residential solar photovoltaic (PV) systems are becoming increasingly common. In some cases, governments or individual homeowners promote PV technology because of concerns about climate change and a desire to reduce global greenhouse gas emissions (GHGs). While solar PV directly emits no GHGs during use, the panels are associated with a significant amount of embedded GHG emissions, resulting from the manufacturing of the panels, for instance. A review of relevant literature reveals that the life cycle GHG emissions of solar PV panels are significantly influenced by contextual factors, such as the location of the panels during use. The purpose of this paper is to illustrate the many ways context could affect the GHG emissions associated with solar PV systems and to demonstrate — via calculations from a simple analytical model — the potential magnitude of the GHG emissions differences associated with using PV panels in different contexts.",2015
"Wave Energy Converter Array Optimization: A Review of Current Work and Preliminary Results of a Genetic Algorithm Approach Introducing Cost Factors","Currently, ocean wave energy is a novel means of electricity generation that is projected to potentially serve as a primary energy source in coastal areas. However, for wave energy converters (WECs) to be applicable on a scale that allows for grid implementation, these devices will need to be placed in close relative proximity to each other. From what’s been learned in the wind industry of the U.S., the placement of these devices will require optimization considering both cost and power. However, current research regarding optimized WEC layouts only considers the power produced. This work explores the development of a genetic algorithm (GA) that will create optimized WEC layouts where the objective function considers both the economics involved in the array’s development as well as the power generated. The WEC optimization algorithm enables the user to either constrain the number of WECs to be included in the array, or allow the algorithm to define this number. To calculate the objective function, potential arrays are evaluated using cost information from Sandia National Labs Reference Model Project, and power development is calculated such that WEC interaction affects are considered. Results are presented for multiple test scenarios and are compared to previous literature, and the implications of ",2015
"Cost Optimization of a Solar Humidification-Dehumidification Desalination System Augmented by Thermal Energy Storage","Solar-powered water desalination is one of the promising approaches for addressing fresh water scarcity in the Middle-East, North Africa, and areas of similar climate around the world. Humidification-dehumidification (HDH) is a scalable, commercially-viable technology that primarily utilizes thermal energy in order to extract fresh water from a high salinity water source. Because of inherent variability and uncertainty in solar energy availability due to daily and seasonal cycles, solar-powered HDH desalination systems may benefit from installing thermal energy storage (TES). TES can allow higher utilization of the installed system components and thus reduce the overall lifecycle cost of fresh water production. This work presents a configuration for a HDH desalination system augmented by TES. The system is optimized using Genetic Algorithms (GA) for minimum total annual cost (TAC) per unit volume of produced potable water while satisfying a preset potable water demand. The optimum results for the same location and cost function are compared with results from a previous system which does not have TES. The comparison shows a considerable reduction in potable water production cost when TES is utilized in addition to the benefit of smaller variation in water production across the day.",2015
"Solar Power Ramp Events Detection Using an Optimized Swinging Door Algorithm","Solar power ramp events (SPREs) significantly influence the integration of solar power on non-clear days and threaten the reliable and economic operation of power systems. Accurately extracting solar power ramps becomes more important with increasing levels of solar power penetrations in power systems. In this paper, we develop an optimized swinging door algorithm (OpSDA) to enhance the state of the art in SPRE detection. First, the swinging door algorithm (SDA) is utilized to segregate measured solar power generation into consecutive segments in a piecewise linear fashion. Then we use a dynamic programming approach to combine adjacent segments into significant ramps when the decision thresholds are met. In addition, the expected SPREs occurring in clear-sky solar power conditions are removed. Measured solar power data from Tucson Electric Power is used to assess the performance of the proposed methodology. OpSDA is compared to two other ramp detection methods: the SDA and the L1-Ramp Detect with Sliding Window (L1-SW) method. The statistical results show the validity and effectiveness of the proposed method. OpSDA can significantly improve the performance of the SDA, and it can perform as well as or better than L1-SW with substantially less computation time.",2015
"A Mixed Integer Linear Programming Formulation for Unrestricted Wind Farm Layout Optimization","This paper proposes a mixed integer linear programming formulation of the unrestricted wind farm layout optimization problem. The formulation is achieved in part by changing the objective from power generation maximization to the maximization of the smallest penalized downstream distance between any pair of turbines, where downstream distance is defined as the distance between any pair of turbines with overlapping wake cones. The proposed formulation also linearizes other non-linear characteristics of the unrestricted layout optimization problem such as proximity constraints and wake-cone membership. The main advantage of the proposed approach is that an optimal solution to the proposed formulation is guaranteed to be globally optimal. This is in contrast to previous approaches with non-linear formulations that do not come with such guarantees.",2015
"Adaptive Operation Decisions in Net Zero Building Clusters","In light of the growing strain on the energy grid and the increased awareness of the significant role buildings play within the energy ecosystem, the need for building operational strategies which minimize energy consumption has never been greater. One of the major hurdles impeding this realization primarily lies not in the lack of decision strategies, but in their inherent lack of adaptability. With most operational strategies partly dictated by a dynamic trio of social, economic and environmental factors which include occupant preference, energy price and weather conditions, it is important to realize and capitalize on this dynamism to open up new avenues for energy savings. This paper extends this idea by developing a dynamic optimization mechanism for Net-zero building clusters. A bi-level operation framework is presented to study the energy tradeoffs resulting from the adaptive measures adopted in response to hourly variations in energy price, energy consumption and indoor occupant comfort preferences. The experimental results verify the need for adaptive decision frameworks and demonstrate, through Pareto analysis, that the approach is capable of exploiting the energy saving opportunities made available through fluctuations in energy price and occupant comfort preferences.",2015
"Optimization of Renewable Energy Power Systems for Remote Communities","Many remote communities rely on diesel generators as their primary power source, which is expensive and harmful to the environment. Renewable energy systems, based on photovoltaics and wind turbines, present a more sustainable and potentially cost-effective option for remote communities with abundant sun and wind. Designing and implementing community-owned and operated renewable power generation alternatives for critical infrastructure such as hospitals, water sanitation, and schools is one approach towards community autonomy and resiliency. However, configuring a cost-effective and reliable renewable power system is challenging due to the many design choices to be made, the large variations in the renewable power sources, and the location specific renewable power source availability. This paper presents an optimization-based approach to aid the configuration of a solar photovoltaic (PV), wind turbine generator and lead-acid battery storage hybrid power system. The approach, implemented in MATLAB, uses a detailed time-series system model to analyze system Loss of Load Probability (LOLP) and a lifetime system cost model to analyze system cost. These models are coupled to a genetic algorithm to perform a multi-objective optimization of system reliability and cost.",2015
"Constrained Multi-Objective Wind Farm Layout Optimization: Introducing a Novel Constraint Handling Approach Based on Constraint Programming","Recently, land has been exploited extensively for onshore wind farms and turbines are frequently located in proximity to human dwellings, natural habitats, and infrastructure. This proximity has made land use constraints and noise generation and propagation matters of increasing concern for all stakeholders. Hence, wind farm layout optimization approaches should be able to consider and address these concerns. In this study, we perform a constrained multi-objective wind farm layout optimization considering energy and noise as objective functions, and considering land use constraints arising from landowner participation, environmental setbacks and proximity to existing infrastructure. The optimization problem is solved with the NSGA-II algorithm, a multi-objective, continuous variable Genetic Algorithm. A novel hybrid constraint handling tool that uses penalty functions together with Constraint Programming algorithms is introduced. This constraint handling tool performs a combination of local and global searches to find feasible solutions. After verifying the performance of the proposed constraint handling approach with a suite of test functions, it is used together with NSGA-II to optimize a set of wind farm layout optimization test cases with different number of turbines and under different levels of land availability (constraint severity). The optimization results illustrate the potential of the new constraint handling approach to outperform existing constraint handling approaches, leading to better solutions with fewer evaluations of the objective functions and constraints.",2015
"Wind Farm Layout Optimization in Complex Terrains Using Computational Fluid Dynamics","The aim of wind farm design is to maximize energy production and minimize cost. In particular, optimizing the placement of turbines in a wind farm is crucial to minimize the wake effects that impact energy production. Most work on wind farm layout optimization has focused on flat terrains and spatially uniform wind regimes. In complex terrains, however, the lack of accurate analytical wake models makes it difficult to evaluate the performance of layouts quickly and accurately as needed for optimization purposes. This paper proposes an algorithm that couples computational fluid dynamics (CFD) with mixed-integer programming (MIP) to optimize layouts in complex terrains. High-fidelity CFD simulations of wake propagation are utilized in the proposed algorithm to constantly improve the accuracy of the predicted wake effects from upstream turbines in complex terrains. By exploiting the deterministic nature of MIP layout solutions, the number of expensive CFD simulations can be reduced significantly. The proposed algorithm is demonstrated on the layout design of a wind farm domain in Carleton-sur-Mer, Quebec, Canada. Results show that the algorithm is capable of producing good wind farm layouts in complex terrains while minimizing the number of computationally expensive wake simulations.",2015
"High Penetration Residential Solar Photovoltaics and the Effects of Dust Storms on System Net Load","Residential solar photovoltaic (PV) systems are becoming increasingly common around the world. Much of this growth is attributed to a decreasing cost of solar PV modules, reduction in the cost of installation and other “soft costs,” along with net-metering, financial incentives, and the growing societal interest in low-carbon energy. Yet this steep rise in distributed, uncontrolled solar PV capacity is being met with growing concern in maintaining electric grid stability when solar PV reaches higher penetration levels. Rapid reductions in solar PV output create an immediate and direct rise in the net system load. Demand response and storage technologies can offset these fluctuations in the net system load, but their potential has yet to be realized through wide-scale commercial dissemination. In the interim these fluctuations will continue to cause technical and economic challenges to the utility and the end-user. Late-afternoon peak demands are of particular concern as solar PV drops off and household demand rises as residents return home. Transient environmental factors such as clouding, rain, and dust storms pose additional uncertainties and challenges. This study analyzes such complex cases by simulating residential loads, rooftop solar PV output, and dust storm effects on solar PV output to examine transients in the net system load. The Phoenix, Arizona metropolitan area is used as a case study that experiences dust storms several times per year. A dust storm is simulated progressing over the Phoenix metro in various directions and intensities. Various solar PV penetration rates are also simulated to allow insight into resulting net loads as PV penetration grows in future years.",2015
"Autonomous Electric Vehicle Sharing System Design","Car-sharing services promise “green” transportation systems. Two vehicle technologies offer marketable, sustainable sharing: Autonomous vehicles eliminate customer requirements for car pick-up and return, and battery electric vehicles entail zero-emissions. Designing an Autonomous Electric Vehicle (AEV) fleet must account for the relationships among fleet operations, charging station operations, electric powertrain performance, and consumer demand. This paper presents a system design optimization framework integrating four sub-system problems: Fleet size and assignment schedule; number and locations of charging stations; vehicle powertrain requirements; and service fees. A case study for an autonomous fleet operating in Ann Arbor, Michigan, is used to examine AEV sharing system profitability and feasibility for a variety of market scenarios.",2015
"A Simplified Mathematical Model for Two-Sided Market Systems With an Intervening Engineered Platform","A two-sided market involves two different user groups whose interactions are enabled over a platform that provides a distinct set of values to either side. In such market systems, one side’s participation depends on the value created by presence of the other side over the platform. Two-sided market platforms must acquire enough users on both sides in appropriate proportions to generate value to either side of the user market. In this paper, we present a simplified, generic mathematical model for two-sided markets with an intervening platform that enables interaction between the two different sets of users with distinct value propositions. The proposed model captures both the same side as well as cross-side effects (i.e., network externalities) and can capture any behavioral asymmetry between the different sides of the two-sided market system. The cross-side effects are captured using the notion of affinity curves while same side effects are captured using four rate parameters. We demonstrate the methodology on canonical affinity curves and comment on the attainment of stability at the equilibrium points of two-sided market systems. Subsequently a stochastic choice-based model of consumers and developers is described to simulate a two-sided market from grounds-up and the observed affinity curves are documented. Finally we discuss how the two-sided market model links with and impacts the engineering characteristics of the platform.",2015
